2021-03-28 18:00:00, 18, 9, 7.56, 70, 11.2
2021-03-28 19:00:q00, 19, 9, 14.04, 72, 11.1
2021-03-28 20:00:00, 20, 9, 9.72, 57, 11.0
2021-03-28 21:00:00, 21, 10, 9.72, 34, 10.8
2021-03-28 22:00:00, 22, 9, 17.64, 35, 10.7
2021-03-28 23:00:00, 23, 9, 16.92, 35, 10.6
2021-03-29 00:00:00, 0, 9, 8.64, 35, 10.5
2021-03-29 01:00:00, 1, 6, 8.28, 43, 10.4
2021-03-29 02:00:00, 2, 5, 6.48, 47, 10.3
2021-03-29 03:00:00, 3, 5, 6.48, 44, 10.2
2021-03-29 04:00:00, 4, 6, 17.28, 34, 10.0
2021-03-29 05:00:00, 5, 7, 15.48, 33, 9.9
2021-03-29 06:00:00, 6, 7, 8.64, 32, 9.8
2021-10-31 00:00:00, 0, 10, 6.0, 81, 10.3
2021-10-31 01:00:00, 1, 8, 7.0, 81, 10.3
2021-10-31 02:00:00, 2, 7, 14.0, 81, 10.1
2021-10-31 03:00:00, 3, 6, 11.0, 79, 9.8
2021-10-31 04:00:00, 4, 6, 8.0, 78, 9.3
2021-10-31 05:00:00, 5, 5, 15.0, 79, 9.0
2021-10-31 06:00:00, 6, 5, 17.0, 81, 8.6
2021-11-02 18:00:00, 18, 7, 1.0, 64, 11.7
2021-11-02 19:00:00, 19, 7, 2.0, 65, 11.5
2021-11-02 20:00:00, 20, 7, 2.0, 63, 11.2
2021-11-02 21:00:00, 21, 7, 2.0, 65, 11.2
2021-11-02 22:00:00, 22, 7, 1.0, 67, 10.0
2021-11-02 23:00:00, 23, 7, 2.0, 70, 9.5
2021-11-03 00:00:00, 0, 9, 2.0, 76, 9.0
2021-11-03 01:00:00, 1, 9, 5.0, 77, 8.8
2021-11-03 02:00:00, 2, 9, 7.0, 77, 8.6
2021-11-03 03:00:00, 3, 9, 9.0, 77, 8.5
2021-11-03 04:00:00, 4, 9, 5.0, 76, 8.1
2021-11-03 05:00:00, 5, 8, 5.0, 77, 8.0
2021-11-03 06:00:00, 6, 9, 5.0, 77, 9.2
2021-11-04 18:00:00, 18, 14, 5.0, 74, 12.1
2021-11-04 19:00:00, 19, 13, 7.0, 67, 11.0
2021-11-04 20:00:00, 20, 10, 5.0, 78, 10.0
2021-11-04 21:00:00, 21, 9, 2.0, 86, 9.7
2021-11-04 22:00:00, 22, 9, 1.0, 91, 9.5
2021-11-04 23:00:00, 23, 9, 2.0, 94, 9.5
2021-11-05 00:00:00, 0, 9, 2.0, 95, 9.4
2021-11-05 01:00:00, 1, 9, 1.0, 96, 9.1
2021-11-05 02:00:00, 2, 9, 1.0, 96, 8.7
2021-11-05 03:00:00, 3, 9, 2.0, 97, 8.3
2021-11-05 04:00:00, 4, 9, 1.0, 97, 7.9
2021-11-05 05:00:00, 5, 9, 1.0, 97, 8.1
2021-11-05 06:00:00, 6, 9, 2.0, 97, 9.4
2021-11-05 18:00:00, 18, 15, 8.0, 71, 12.1
2021-11-05 19:00:00, 19, 15, 13.0, 72, 11.7
2021-11-05 20:00:00, 20, 12, 9.0, 79, 11.5
2021-11-05 21:00:00, 21, 11, 3.0, 79, 11.0
2021-11-05 22:00:00, 22, 9, 4.0, 88, 10.2
2021-11-05 23:00:00, 23, 8, 2.0, 91, 10.1
2021-11-06 00:00:00, 0, 8, 1.0, 93, 9.8
2021-11-06 01:00:00, 1, 8, 9.0, 94, 9.7
2021-11-06 02:00:00, 2, 8, 1.0, 96, 9.7
2021-11-06 03:00:00, 3, 8, 2.0, 97, 10.4
2021-11-06 04:00:00, 4, 8, 1.0, 97, 11.1
2021-11-06 05:00:00, 5, 8, 1.0, 97, 11.2
2021-11-06 06:00:00, 6, 8, 1.0, 97, 10.5
2021-11-06 18:00:00, 18, 0, 18.0, 79, 6.1
2021-11-06 19:00:00, 19, 0, 12.0, 82, 6.2
